YEARDAY,LON,LAT
113.5034722,-68.84629726,35.07356286
113.5493056,-68.82114887,35.08635163
113.5951389,-68.80801678,35.09887218
113.6409722,-68.80271673,35.12137055
113.6868056,-68.79728794,35.15102506
113.73125,-68.77512217,35.18104434
113.7777778,-68.74821424,35.21337032
113.8236111,-68.71295929,35.24763823
113.8694444,-68.68373394,35.28625131
113.9152778,-68.65431547,35.32603383
113.9611111,-68.61764431,35.35877824
114.0069444,-68.57977152,35.38813233
114.0513889,-68.54359388,35.41707873
114.0972222,-68.50842476,35.44385791
114.1430556,-68.46797705,35.47111988
114.1875,-68.42205763,35.50288796
114.2354167,-68.36935759,35.54172635
114.28125,-68.30682993,35.57042599
114.3256944,-68.23777914,35.58915854
114.3715278,-68.17593813,35.60245156
114.4173611,-68.1271863,35.60820222
114.4631944,-68.09349775,35.61073422
114.5090278,-68.08929205,35.58855772
114.5555556,-68.1116724,35.56538343
114.6013889,-68.15353632,35.54886103
114.6458333,-68.19211721,35.53555727
114.6868056,-68.22473288,35.53144813
114.6916667,-68.22795153,35.53144813
114.7375,-68.25966597,35.53144813
114.7833333,-68.2836771,35.53630829
114.8291667,-68.30532789,35.53670526
114.875,-68.3268714,35.53859353
114.9208333,-68.34684849,35.54484844
114.9652778,-68.37008715,35.54871082
115.0118056,-68.39504242,35.55812001
115.0576389,-68.39439869,35.57109118
115.1034722,-68.38257551,35.58581114
115.1493056,-68.3830905,35.59395432
115.1875,-68.38285446,35.60343862
115.1951389,-68.38158846,35.60594916
115.2409722,-68.37100983,35.62456369
115.2868056,-68.35453033,35.64444423
115.33125,-68.33146334,35.66816568
115.3777778,-68.3172369,35.69100738
115.4236111,-68.31665754,35.70548058
115.4694444,-68.31743002,35.72174549
115.5180556,-68.32097054,35.74226975
115.5611111,-68.32345963,35.76430678
115.6069444,-68.32204342,35.78898311
115.6513889,-68.31487656,35.81645966
115.6868056,-68.30966234,35.83983779
115.6972222,-68.30768824,35.84690809
115.7430556,-68.29706669,35.88569283
115.7895833,-68.27726126,35.92709541
115.8354167,-68.25558901,35.97387314
115.88125,-68.22614908,36.02891207
115.9256944,-68.19368362,36.09030247
115.9715278,-68.15825701,36.15538359
116.0173611,-68.12021255,36.23083949
116.0631944,-68.08935642,36.30806565
116.1090278,-68.05813551,36.38652563
116.1555556,-68.0132246,36.46912694
116.1875,-67.98277617,36.53103232
116.2013889,-67.97118902,36.55488253
116.2458333,-67.92844534,36.63968325
116.2930556,-67.90512085,36.71214581
116.3375,-67.88377047,36.78005934
116.3833333,-67.87070274,36.84687853
116.4291667,-67.86139011,36.9081831
116.475,-67.8143549,36.92884684
116.5243056,-67.77779102,36.95021868
116.5673611,-67.74242878,36.96933746
116.6118056,-67.70504951,36.95321202
116.6576389,-67.66966581,36.91907287
116.6888889,-67.65097618,36.8948257
116.7034722,-67.64159918,36.88241243
116.7493056,-67.61286736,36.84545159
116.7951389,-67.5844574,36.80993915
116.8409722,-67.55156279,36.77862167
116.8868056,-67.51540661,36.74345255
116.93125,-67.47283459,36.71048284
116.9777778,-67.4219799,36.6700244
117.0236111,-67.37136126,36.62992001
117.0694444,-67.313447,36.59345269
117.1152778,-67.25270033,36.57200575
117.1611111,-67.18944311,36.55092359
